2024-08-15 22:16:10 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 22436
2024-08-15 22:16:10 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-08-15 22:16:10 0 [Note] InnoDB: Uses event mutexes
2024-08-15 22:16:10 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-08-15 22:16:10 0 [Note] InnoDB: Number of pools: 1
2024-08-15 22:16:10 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=372] with future log sequence number 368778
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=240] with future log sequence number 368734
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 368734
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=239] with future log sequence number 368690
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=402] with future log sequence number 368690
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 368630
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 368630
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 368586
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 368586
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=408] with future log sequence number 368358
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=215] with future log sequence number 368103
2024-08-15 22:16:10 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=439] with future log sequence number 368103
